;; -*- coding: utf-8 -*--
a-kui-na 阿奎那
fa-lv-ben-ti 法律本体
fa-lv-ben-zhi 法律本质
fa-lv-bu-men 法律部门
fa-lv-bu-neng-fan 法律不能犯
fa-lv-ca-bian-qiu 法律擦边球
fa-lv-chong-tu 法律冲突
fa-lv-chuan-tong 法律传统
fa-lv-cuo-wu 法律错误
fa-lv-de-shi-shi 法律的实施
fa-lv-ding-yi 法律定义
fa-lv-fa-gui 法律法规
fa-lv-fa-gui-hui-bian 法律法规汇编
fa-lv-fa-gui-shi-yong-fan-wei 法律法规适用范围
fa-lv-fang-fa 法律方法
fa-lv-gai-nian 法律概念
fa-lv-guan-xi 法律关系
fa-lv-guan-xi-hun-za 法律关系混杂
fa-lv-guan-xi-ke-ti 法律关系客体
fa-lv-guan-xi-zhu-ti 法律关系主体
fa-lv-gui-bi 法律规避
fa-lv-gui-ze 法律规则
fa-lv-hui-bian 法律汇编
fa-lv-ji-cheng 法律继承
fa-lv-jia-zhi 法律价值
fa-lv-jian-du 法律监督
fa-lv-jian-du-ji-guan 法律监督机关
fa-lv-jie-shi 法律解释
fa-lv-jing-ji-xue 法律经济学
fa-lv-pan-jue-ren-ding 法律判决认定
fa-lv-qi-yuan 法律起源
fa-lv-quan-qiu-hua 法律全球化
fa-lv-shi-jian 法律事件
fa-lv-shi-shi 法律事实
fa-lv-shi-yong 法律适用
fa-lv-si-wei 法律思维
fa-lv-te-zheng 法律特征
fa-lv-ti-xi 法律体系
fa-lv-tiao-wen 法律条文
fa-lv-tui-li 法律推理
fa-lv-wen-hua 法律文化
fa-lv-wen-jian 法律文件
fa-lv-wen-shu 法律文书
fa-lv-wen-shu-de-da-fu-lun-shu-zai-yu-ci 法律文书的大幅论述在于此
fa-lv-xian-dai-hua 法律现代化
fa-lv-xian-xiang 法律现象
fa-lv-xian-zhi-he-yue-shu 法律限制和约束
fa-lv-xiao-li 法律效力
fa-lv-xing-wei 法律行为
fa-lv-yan-jin 法律演进
fa-lv-yi-an 法律议案
fa-lv-yi-shi 法律意识
fa-lv-yi-zhi 法律移植
fa-lv-yuan-yuan 法律渊源
fa-lv-yuan-ze 法律原则
fa-lv-ze-ren 法律责任
fa-lv-zheng-ce-yan-jiu-shi 法律政策研究室
fa-lv-zhi-cai 法律制裁
fa-lv-zhi-xu 法律秩序
fa-lv-zhi-ye 法律职业
fa-lv-zhi-ye-dao-de 法律职业道德
fa-lv-zuo-yong 法律作用
fa-ming 发明
fa-ming-ren 发明人
fa-ming-zhuan-li 发明专利
fa-ming-zhuan-li-quan 发明专利权
fa-ming-zhuan-li-quan-ren 发明专利权人
fa-pan 发盘
fa-piao-ren 发票人
fa-qi-she-li 发起设立
fa-ren 法人
fa-ren-de-bian-geng 法人的变更
fa-ren-de-cheng-li 法人的成立
fa-ren-de-he-bing 法人的合并
fa-ren-de-xiao-mie 法人的消灭
fa-ren-de-zhong-zhi 法人的终止
fa-ren-fen-zhi-ji-gou-de-di-yue-zi-ge 法人分支机构的缔约资格
fa-ren-fen-zhi-ji-gou-de-min-shi-ze-ren-cheng-dan 法人分支机构的民事责任承担
fa-ren-gu-zhi-ya 法人股质押
fa-ren-ming-cheng-quan 法人名称权
fa-ren-ming-yu 法人名誉
fa-ren-ming-yu-quan 法人名誉权
fa-ren-qing-suan 法人清算
fa-ren-xing-lian-ying 法人型联营
fa-ren-zhang-cheng 法人章程
fa-sheng-shuo 发声说
fa-shi-gui-ju-de-xiang-zheng 法是规矩的象征
fa-tiao 法条
fa-tiao-jing-he 法条竞合
fa-tiao-jing-he 法条竟合
fa-ting 法庭
fa-xi 法系
fa-xian 发现
fa-xian-quan 发现权
fa-xian-zheng-shu 发现证书
fa-xing-fang-ying-quan 发行放映权
fa-xing-quan 发行权
fa-xue 法学
fa-xue-jia 法学家
fa-xue-jie-ti 法学阶梯
fa-xue-yuan 法学院
fa-yu 法域
fa-yuan 法院
fa-yuan-zhi-jie-shou-li-de-xing-shi-an-jian 法院直接受理的刑事案件
fa-zhan-quan 发展权
fa-zhe-xue 法哲学
fa-zhi 法制
fa-zhi 法治
fa-zhi-guo-jia 法治国家
fa-zhi-li-lun 法治理论
fa-zhi-she-hui 法治社会
fa-zhi-shi 法制史
fa-zhi-xian-dai-hua 法制现代化
fa-zhi-xian-dai-hua 法治现代化
fa-zhi-zheng-zhi 法治政治
fan-bu-tie 反补贴
fan-bu-tie-shui 反补贴税
fan-bu-tie-tiao-li 反补贴条例
fan-bu-zheng-dang-jing-zheng-fa 反不正当竞争法
fan-chong-yi 樊崇义
fan-dan-bao 反担保
fan-dong-hui-dao-men 反动会道门
fan-du-ju 反渎局
fan-du-zhi-qin-quan-ju 反渎职侵权局
fan-gang 樊纲
fan-ge-ming-fan 反革命犯
fan-ge-ming-ji-tuan 反革命集团
fan-ge-ming-po-huai-zui 反革命破坏罪
fan-ge-ming-sha-ren-zui 反革命杀人罪
fan-ge-ming-shang-ren-zui 反革命伤人罪
fan-ge-ming-xuan-chuan-shan-dong-zui 反革命宣传煽动罪
fan-ge-ming-zui 反革命罪
fan-huan 返还
fan-huan-cai-chan 返还财产
fan-huan-ze-ren 返还责任
fan-jian 范健
fan-jin-xue 范进学
fan-long-duan-fa 反垄断法
fan-mai-du-pin-zui 贩卖毒品罪
fan-mai-jia-yao-zui 贩卖假药罪
fan-mai-yin-shu-yin-hua-zui 贩卖淫书淫画罪
fan-qing-xiao-tiao-li 反倾销条例
fan-qing-xiao-xing-zheng-an-jian 反倾销行政案件
fan-shou 返售
fan-si 贩私
fan-su 反诉
fan-tan-ju 反贪局
fan-tan-wu-hui-lu-ju 反贪污贿赂局
fan-xiang-gong-cheng 反向工程
fan-xiang-jiao-ge 反向交割
fan-xing-fa-cuo-wu 犯刑法错误
fan-yi-biao-shi 犯意表示
fan-yi-ren-yuan 翻译人员
fan-yi-zuo-pin 翻译作品
fan-yun-wei-zao-de-guo-jia-huo-bi-zui 贩运伪造的国家货币罪
fan-zhi 反致
fan-zhong-xie-yi 繁种协议
fan-zhong-xin 范忠信
fan-zui 犯罪
fan-zui-de-ben-zhi 犯罪的本质
fan-zui-de-gai-nian-ben-zhi-ji-zhong-lei 犯罪的概念本质及种类
fan-zui-de-ke-guan-fang-mian 犯罪的客观方面
fan-zui-de-ke-guan-yao-jian 犯罪的客观要件
fan-zui-de-zhu-guan-fang-mian 犯罪的主观方面
fan-zui-di-dian 犯罪地点
fan-zui-dong-ji 犯罪动机
fan-zui-dui-xiang 犯罪对象
fan-zui-fang-fa 犯罪方法
fan-zui-gou-cheng 犯罪构成
fan-zui-gou-cheng-de-fen-lei 犯罪构成的分类
fan-zui-gou-cheng-yao-jian 犯罪构成要件
fan-zui-gu-yi 犯罪故意
fan-zui-guo-cheng 犯罪过程
fan-zui-guo-shi 犯罪过失
fan-zui-ji-sui 犯罪既遂
fan-zui-ji-tuan 犯罪集团
fan-zui-jie-duan 犯罪阶段
fan-zui-jie-guo 犯罪结果
fan-zui-jie-huo 犯罪结伙
fan-zui-ke-guan-yao-jian 犯罪客观要件
fan-zui-ke-ti 犯罪客体
fan-zui-liu-lu 犯罪流露
fan-zui-mu-di 犯罪目的
fan-zui-qian-lian-xing-wei 犯罪牵连行为
fan-zui-shi-jian 犯罪时间
fan-zui-shou-duan 犯罪手段
fan-zui-te-zheng 犯罪特征
fan-zui-tuan-huo 犯罪团伙
fan-zui-wan-cheng 犯罪完成
fan-zui-wei-sui 犯罪未遂
fan-zui-wei-wan-cheng 犯罪未完成
fan-zui-xian-yi-ren 犯罪嫌疑人
fan-zui-xing-tai 犯罪形态
fan-zui-xing-wei 犯罪行为
fan-zui-yu-bei 犯罪预备
fan-zui-zhong-duan 犯罪中断
fan-zui-zhong-dun 犯罪中顿
fan-zui-zhong-zhi 犯罪中止
fan-zui-zhong-zhi 犯罪终止
fan-zui-zhu-ti 犯罪主体
fang-ai-hang-xing 妨碍航行
fang-bian-qi 方便旗
fang-chan-bian-geng-deng-ji 房产变更登记
fang-chan-guo-hu 房产过户
fang-chan-que-quan 房产确权
fang-chan-ru-gu 房产入股
fang-chan-zheng 房产证
fang-di-chan-kai-fa-gong-si 房地产开发公司
fang-di-chan-kai-fa-qi-ye 房地产开发企业
fang-di-chan-quan-shu-deng-ji-ding-zhe-wu 房地产权属登记定着物
fang-di-chan-zhong-jie-ji-gou 房地产中介机构
fang-fa-bu-neng-fan 方法不能犯
fang-fa-fa-ming 方法发明
fang-fa-zhuan-li 方法专利
fang-hai-gong-wu-zui 妨害公务罪
fang-hai-hun-yin-jia-ting 妨害婚姻家庭
fang-hai-hun-yin-jia-ting-zui 妨害婚姻家庭罪
fang-hai-she-hui-guan-li-zhi-xu-zui 妨害社会管理秩序罪
fang-hai-you-dian-tong-xun-zui 妨害邮电通讯罪
fang-huo-zui 放火罪
fang-liu-fang 方流芳
fang-mao 仿冒
fang-qi-cheng-bao-quan 放弃承包权
fang-qi-chong-fu-qin-hai-xing-wei 放弃重复侵害行为
fang-qi-ji-cheng-quan 放弃继承权
fang-ren 放任
fang-wei-bu-shi-shi 防卫不适时
fang-wei-guo-dang 防卫过当
fang-wei-tiao-bo 防卫挑拨
fang-wei-xian-du 防卫限度
fang-wei-yi-tu 防卫意图
fang-wu-chai-qian 房屋拆迁
fang-wu-chai-qian-an-zhi-xie-yi 房屋拆迁安置协议
fang-wu-chan-quan 房屋产权
fang-wu-chan-quan-deng-ji 房屋产权登记
fang-wu-chan-quan-ji-cheng 房屋产权继承
fang-wu-chan-quan-zheng-de-zhu-xiao 房屋产权证的注销
fang-wu-chu-mai-ren 房屋出卖人
fang-wu-dai-guan 房屋代管
fang-wu-dai-jian 房屋代建
fang-wu-di-ya-dai-kuan 房屋抵押贷款
fang-wu-gong-tong-shi-yong-quan 房屋共同使用权
fang-wu-gong-you 房屋共有
fang-wu-gong-you-chan-quan 房屋共有产权
fang-wu-guo-hu 房屋过户
fang-wu-jiao-ge-xie-yi-shu 房屋交割协议书
fang-wu-lian-jian 房屋联建
fang-wu-mai-mai 房屋买卖
fang-wu-quan-shu 房屋权属
fang-wu-shou-gou-he-hui-zu 房屋售购和回租
fang-wu-suo-you-quan 房屋所有权
fang-wu-tiao-pei-zu-lin-shi-yong-quan 房屋调配租赁使用权
fang-wu-you-xian-chan-quan 房屋有限产权
fang-wu-yu-shou 房屋预售
fang-wu-zeng-yu 房屋赠与
fang-wu-zeng-yu 房屋赠予
fang-wu-zheng-shou 房屋征收
fang-wu-zu-lin 房屋租赁
fang-zhi-yi-wu 防止义务
fei-bang-zui 诽谤罪
fei-bi-yao-gong-tong-su-song 非必要共同诉讼
fei-chang-su-song 非常诉讼
fei-chu 废除
fei-fa-bo-duo-zong-jiao-xin-yang-zi-you-zui 非法剥夺宗教信仰自由罪
fei-fa-bu-lao-shui-chan-pin-zui 非法捕捞水产品罪
fei-fa-dai-bu 非法逮捕
fei-fa-guan-zhi-zui 非法管制罪
fei-fa-jie-dai 非法借贷
fei-fa-jing-ying 非法经营
fei-fa-ju-jian 非法居间
fei-fa-ju-jin-zui 非法拘禁罪
fei-fa-ju-liu 非法拘留
fei-fa-mai-mai-qiang-zhi-dan-yao-zui 非法买卖枪支弹药罪
fei-fa-qin-ru-zhu-zhai-zui 非法侵入住宅罪
fei-fa-qin-zhan 非法侵占
fei-fa-shou-lie-zui 非法狩猎罪
fei-fa-sou-cha-zui 非法搜查罪
fei-fa-suo-de 非法所得
fei-fa-tong-ju 非法同居
fei-fa-yun-shu-qiang-zhi-dan-yao-zui 非法运输枪支弹药罪
fei-fa-zhan-di 非法占地
fei-fa-zhan-you 非法占有
fei-fa-zhi-zao-qiang-zhi-dan-yao-zui 非法制造枪支弹药罪
fei-ge-xi-fan 非隔隙犯
fei-guan-shui-bi-lei 非关税壁垒
fei-guan-shui-cuo-shi 非关税措施
fei-hun-sheng-zi-nv 非婚生子女
fei-qi-wu 废弃物
fei-qin-gao-zui 非亲告罪
fei-shen-fen-fan 非身份犯
fei-su-cheng-xu 非诉程序
fei-wu-zhi-xing-jie-guo 非物质性结果
fei-xiao-tong 费孝通
fei-zhi 废止
fei-zhi-wu-fa-ming 非职务发明
fei-zhi-wu-xing-wei-qin-quan 非职务行为侵权
fei-zhuan-li-ji-shu 非专利技术
fei-zhuan-li-ji-shu-zhuan-rang-he-tong 非专利技术转让合同
fen-cang-jiao-yi 分仓交易
fen-gong-fu-ze-hu-xiang-pei-he-hu-xiang-zhi-yue 分工负责互相配合互相制约
fen-gong-si 分公司
fen-jing-tou-ju-ben 分镜头剧本
fen-lei-ke-ti 分类客体
fen-qi-fu-kuan-mai-mai 分期付款买卖
fen-shui-ling 分水岭
fen-tan 分摊
fen-xi-fa-xue 分析法学
fen-xi-fa-xue-pai 分析法学派
feng-bi-gong-si 封闭公司
feng-cun 封存
feng-jian-she-hui 封建社会
feng-xian-cheng-dan 风险承担
feng-xian-dai-li 风险代理
feng-xian-di-ya-jin 风险抵押金
feng-xian-fu-dan 风险负担
feng-xian-jie-shi-sheng-ming-shu 风险揭示声明书
feng-xian-ze-ren 风险责任
feng-xian-zhuan-yi 风险转移
feng-xiang 冯象
fu-bao-xian 复保险
fu-dai-li 复代理
fu-dai-min-shi-su-song 附带民事诉讼
fu-dai-min-shi-su-song-de-dang-shi-ren 附带民事诉讼的当事人
fu-dai-min-shi-su-song-de-yuan-gao-ren-he-bei-gao-ren 附带民事诉讼的原告人和被告人
fu-dan-xing-wei 负担行为
fu-he 附合
fu-jia-dao-qie-xian-te-shu-tiao-kuan 附加盗窃险特殊条款
fu-jia-xian 附加险
fu-jia-xing 附加刑
fu-jian-cha-zhang 副检察长
fu-jin-kou 复进口
fu-kuan-qing-qiu-quan 付款请求权
fu-kuan-ren 付款人
fu-kuan-shu-dan 付款赎单
fu-kuan-wei-tuo 付款委托
fu-lan-ke 弗兰克
fu-le 富勒
fu-li-de-man 弗里德曼
fu-mu-zi-nv-guan-xi 父母子女关系
fu-nv-quan-yi-bao-zhang 妇女权益保障
fu-nv-quan-yi-bao-zhang-fa 妇女权益保障法
fu-qi-cai-chan-guan-xi 夫妻财产关系
fu-qi-cai-chan-zhi 夫妻财产制
fu-qi-dai-li-quan 夫妻代理权
fu-qi-gan-qing-po-lie 夫妻感情破裂
fu-qi-gong-tong-cai-chan 夫妻共同财产
fu-qi-gong-tong-cai-chan-chu-fen 夫妻共同财产处分
fu-qi-gong-tong-cai-chan-fen-ge 夫妻共同财产分割
fu-qi-gong-tong-zhai-wu-ren-ding 夫妻共同债务认定
fu-qi-guan-xi 夫妻关系
fu-qi-ren-shen-guan-xi 夫妻人身关系
fu-qi-xian-de-fa-lv-xing-wei 附期限的法律行为
fu-qi-zhu-suo 夫妻住所
fu-shu-de-fa-lv-xing-wei 附属的法律行为
fu-shu-yi-wu 附属义务
fu-sui-yi-wu 附随义务
fu-tiao-jian-bei-shu 附条件背书
fu-tiao-jian-de-min-shi-fa-lv-xing-wei 附条件的民事法律行为
fu-wu-mao-yi 服务贸易
fu-wu-shang-biao 服务商标
fu-wu-xia-ci 服务瑕疵
fu-xu-fei 抚恤费
fu-yang 扶养
fu-yang-fei 抚养费
fu-yang-fei-de-cheng-dan 抚养费的承担
fu-yang-guan-xi-bian-geng 抚养关系变更
fu-yang-ji-cheng-xie-yi 扶养继承协议
fu-yang-neng-li 抚养能力
fu-yi 复议
fu-yu-lin 傅郁林
fu-za-de-fan-zui-gou-cheng 复杂的犯罪构成
fu-za-gong-fan 复杂共犯
fu-za-ke-ti 复杂客体
fu-zhi 复制
fu-zhi-fa-xing 复制发行
fu-zhi-quan 复制权
gai-bian 改编
gai-bian-bo-fang 改编播放
gai-bian-zuo-pin 改编作品
gai-ge 改革
gai-kuo-gui-ding 概括规定
gai-nian-fa-xue 概念法学
gai-ran-xing-jiao-suo 概然性教唆
gang-kou-fei 港口费
gang-kou-he-tong 港口合同
gang-kou-zuo-ye 港口作业
gao-chou 稿酬
gao-du-wei-xian 高度危险
gao-fu-ping 高富平
gao-li-dai 高利贷
gao-su 告诉
gao-su-cai-chu-li 告诉才处理
gao-su-nai-lun 告诉乃论
gao-xi-lan-cun 高息揽存
gao-zhi 告之
gao-zhi 告知
ge-di-fan 隔地犯
ge-lao-xiu-si 格老秀斯
ge-li-fan 隔离犯
ge-ren-cai-chan 个人财产
ge-ren-du-zi-qi-ye-fa 个人独资企业法
ge-ren-he-huo 个人合伙
ge-ren-jing-ying 个人经营
ge-ren-suo-de-shui-fa 个人所得税法
ge-ren-zai-chuang-zuo 个人再创作
ge-ren-zhu-ye 个人主页
ge-shi-fan 隔时犯
ge-shi-he-tong 格式合同
ge-ti-gong-shang-hu 个体工商户
ge-xi-fan 隔隙犯
ge-zhi-wu 搁置物
gen-ben-fa 根本法
gen-ben-wei-yue 根本违约
gen-dan-xin-yong-zheng-tong-yi-guan-li 跟单信用证统一惯例
geng-huan-jian-ding-ren 更换鉴定人
gong-an-bu 公安部
gong-an-ji-guan-zhen-cha-de-xing-shi-an-jian 公安机关侦查的刑事案件
gong-an-ju 公安局
gong-chang 公娼
gong-cheng-zhi-liang 工程质量
gong-dian-he-tong 供电合同
gong-fa 公法
gong-fa-ren 公法人
gong-fan-de-jing-he 共犯的竞合
gong-fan-de-xing-shi 共犯的形式
gong-fan-zhe 共犯者
gong-fang-zhuan-zu 公房转租
gong-gong-cai-chan 公共财产
gong-gong-li-yi 公共利益
gong-gong-wei-xian 公共危险
gong-gong-zheng-ce 公共政策
gong-gong-zhi-xu 公共秩序
gong-gong-zhi-xu-bao-liu 公共秩序保留
gong-hui-cai-chan-suo-you-quan 工会财产所有权
gong-ji-jin 公积金
gong-ju-bu-neng-fan 工具不能犯
gong-li-jiu-ji 公力救济
gong-li-zhu-yi-fa-xue 功利主义法学
gong-li-zhu-yi-fa-xue-pai 功利主义法学派
gong-min 公民
gong-min-quan-li-de-bo-duo-he-cai-chan-de-mo-shou 公民权利的剥夺和财产的没收
gong-ping 公平
gong-ping-jiao-yi-quan 公平交易权
gong-ping-jing-zheng 公平竞争
gong-ping-ze-ren 公平责任
gong-quan-li 公权力
gong-ran-xing 公然性
gong-shang 工伤
gong-shang-fu-xu 工伤抚恤
gong-shang-ying-ye-zhi-zhao 工商营业执照
gong-shi-cui-gao-cheng-xu 公示催告程序
gong-shi-gong-xin-yuan-ze 公示公信原则
gong-shi-suo-you-quan-ren-he-shi-ji-suo-you-quan-ren 公示所有权人和实际所有权人
gong-shui-he-tong 供水合同
gong-si 公司
gong-si-ban-shi-chu-de-fa-lv-di-wei 公司办事处的法律地位
gong-si-chong-zheng 公司重整
gong-si-dai-biao 公司代表
gong-si-deng-ji 公司登记
gong-si-deng-ji-guan-li-tiao-li 公司登记管理条例
gong-si-fa 公司法
gong-si-fen-li 公司分立
gong-si-fu-ze-ren 公司负责人
gong-si-gong-gao 公司公告
gong-si-guan-lian-jiao-yi-fa-lv-guan-xi 公司关联交易法律关系
gong-si-he-bing 公司合并
gong-si-jian-du 公司监督
gong-si-jie-san 公司解散
gong-si-jing-li-ren 公司经理人
gong-si-ming-cheng 公司名称
gong-si-neng-li 公司能力
gong-si-qing-suan 公司清算
gong-si-she-li-ze-ren 公司设立责任
gong-si-xing-ji-jin 公司型基金
gong-si-zhai 公司债
gong-si-zhai-mu-ji-ze-ren 公司债募集责任
gong-si-zhai-quan 公司债券
gong-si-zhang-cheng 公司章程
gong-si-zhu-suo 公司住所
gong-su 公诉
gong-su-an-jian 公诉案件
gong-su-chu 公诉处
gong-su-ci 公诉词
gong-su-ji-guan 公诉机关
gong-su-ke 公诉科
gong-su-ren 公诉人
gong-su-zhi-du 公诉制度
gong-tong-bian-hu 共同辩护
gong-tong-cai-chan 共同财产
gong-tong-cheng-yun-ren 共同承运人
gong-tong-chuang-zuo-ren 共同创作人
gong-tong-dai-li 共同代理
gong-tong-dan-bao 共同担保
gong-tong-di-ya 共同抵押
gong-tong-fa-ming-ren 共同发明人
gong-tong-fan-zui 共同犯罪
gong-tong-gong-you 共同共有
gong-tong-gu-yi 共同故意
gong-tong-guo-cuo-ze-ren 共同过错责任
gong-tong-hai-sun 共同海损
gong-tong-hai-sun-fen-tan 共同海损分摊
gong-tong-hai-sun-li-suan 共同海损理算
gong-tong-ji-cheng 共同继承
gong-tong-jia-hai-xing-wei 共同加害行为
gong-tong-jiao-suo-fan 共同教唆犯
gong-tong-ju-zhu-quan 共同居住权
gong-tong-ju-zhu-ren 共同居住人
gong-tong-ke-ti 共同客体
gong-tong-pei-chang 共同赔偿
gong-tong-qin-quan 共同侵权
gong-tong-wei-xian-xing-wei 共同危险行为
gong-tong-xing-wei 共同行为
gong-tong-yi-zhu 共同遗嘱
gong-tong-ze-ren 共同责任
gong-tong-zhai-wu 共同债务
gong-tong-zhan-you 共同占有
gong-tong-zhuan-li-quan-ren 共同专利权人
gong-wen-zheng-jian-yin-zhang 公文证件印章
gong-xu-liang-su 公序良俗
gong-xu-liang-su-yuan-ze 公序良俗原则
gong-ye-chan-quan 工业产权
gong-yi-fa-ren 公益法人
gong-yi-jin 公益金
gong-yi-xin-tuo 公益信托
gong-ying-he-tong 供应合同
gong-yong-qi-ye 公用企业
gong-yong-wu 公用物
gong-you 公有
gong-you 共有
gong-you-cai-chan-fen-ge 共有财产分割
gong-you-fang-wu-cheng-zu-shi-yong-quan 公有房屋承租使用权
gong-you-ji-shu 公有技术
gong-you-zhu-zhai-zu-lin-he-tong 公有住宅租赁合同
gong-zhai 公债
gong-zheng 公证
gong-zheng-cai-pan 公正裁判
gong-zheng-cai-wu 公证财物
gong-zheng-shen-pan 公正审判
gong-zheng-yi-zhu 公证遗嘱
gong-zhi-ji-shu 公知技术
gong-zuo-zhi-xu 工作秩序
gou-mai-jia-zhong-zi 购买假种子
gou-xiao-he-tong 购销合同
gu-dian-zi-ran-fa-xue-pai 古典自然法学派
gu-dong 股东
gu-dong-chu-zi 股东出资
gu-dong-da-hui 股东大会
gu-dong-dai-biao-da-hui 股东代表大会
gu-dong-dai-biao-hui-yi 股东代表会议
gu-dong-dai-wei-su-song 股东代位诉讼
gu-dong-hui 股东会
gu-dong-ming-ce 股东名册
gu-dong-ping-zheng 股东凭证
gu-dong-quan-li 股东权利
gu-fen 股份
gu-fen-gong-you 股份共有
gu-fen-he-zuo-qi-ye 股份合作企业
gu-fen-liang-he-gong-si 股份两合公司
gu-fen-you-xian-gong-si 股份有限公司
gu-fen-zhao-mu 股份招募
gu-fen-zhuan-rang 股份转让
gu-jia-tou-bao 估价投保
gu-luo-ma 古罗马
gu-piao 股票
gu-piao-dao-mai 股票盗卖
gu-piao-hui-gou 股票回购
gu-piao-ren-gou-quan 股票认购权
gu-piao-zhang-hu 股票帐户
gu-piao-zhi-ya 股票质押
gu-piao-zhuan-rang 股票转让
gu-quan 股权
gu-quan-bian-geng 股权变更
gu-quan-zhi-ya 股权质押
gu-quan-zhuan-rang 股权转让
gu-xi 股息
gu-xi-hong-li 股息红利
gu-xi-la 古希腊
gu-yi 故意
gu-yi-fan 故意犯
gu-yi-hui-huai-cai-wu-zui 故意毁坏财物罪
gu-yi-sha-ren-zui 故意杀人罪
gu-yi-shang-hai-zui 故意伤害罪
gu-yong-bao-zheng 雇佣保证
gu-yong-guan-xi 雇佣关系
gu-yong-he-tong 雇佣合同
gu-yong-lao-wu-he-tong-jiu-fen 雇佣劳务合同纠纷
gu-zhu-ze-ren 雇主责任
gu-zhu-ze-ren-xian 雇主责任险
gua-kao 挂靠
gua-kao-jing-ying 挂靠经营
gua-shi 挂失
guai-mai 拐卖
guai-mai-hun-yin-de-fa-lv-xiao-li 拐卖婚姻的法律效力
guai-mai-ren-kou-zui 拐卖人口罪
guai-pian-er-tong-zui 拐骗儿童罪
guan-bao-ying 关保英
guan-fan 惯犯
guan-huo-yi-wu 管货义务
guan-lian-qi-ye 关联企业
guan-pian 惯骗
guan-qie 惯窃
guan-shui 关税
guan-shui-bi-lei 关税壁垒
guan-xi-fan 惯习犯
guan-xia 管辖
guan-xia-zheng-yi 管辖争议
guan-zhi 管制
guang-chuan-zu-lin-he-tong 光船租赁合同
guang-gao 广告
guang-gao-fa-bu-zhe 广告发布者
guang-gao-qi-zha 广告欺诈
guang-gao-yu 广告语
guang-gao-zhu 广告主
guang-yi-de-xing-shi-su-song-fa 广义的刑事诉讼法
gui-bi 规避
gui-bi-fa-lv 规避法律
gui-chuan 鬼船
gui-fan-fa-xue 规范法学
gui-ze-yuan-ze 归责原则
gui-zhi 规制
guo-chi-de-fang-wei 过迟的防卫
guo-cuo 过错
guo-cuo-tui-ding 过错推定
guo-cuo-ze-ren 过错责任
guo-cuo-ze-ren-yuan-ze 过错责任原则
guo-ji 国籍
guo-ji-fa 国际法
guo-ji-fa 国籍法
guo-ji-fa-yuan 国际法院
guo-ji-guan-li 国际惯例
guo-ji-hai-yang-fa-fa-ting 国际海洋法法庭
guo-ji-hai-yun-lao-gong-lian-meng 国际海运劳工联盟
guo-ji-hang-kong-fa 国际航空法
guo-ji-huo-wu-bao-xian 国际货物保险
guo-ji-huo-wu-duo-shi-lian-yun-he-tong 国际货物多式联运合同
guo-ji-huo-wu-mai-mai 国际货物买卖
guo-ji-huo-wu-yun-shu 国际货物运输
guo-ji-huo-wu-yun-shu-bao-xian 国际货物运输保险
guo-ji-ji-shu-zhuan-rang 国际技术转让
guo-ji-jin-rong-fa 国际金融法
guo-ji-jing-ji-fa 国际经济法
guo-ji-mao-yi 国际贸易
guo-ji-mao-yi-shu-yu-jie-shi-tong-ze 国际贸易术语解释通则
guo-ji-mao-yi-zhi-fu 国际贸易支付
guo-ji-min-shi-su-song 国际民事诉讼
guo-ji-qing-suan 国际清算
guo-ji-ren-quan-fa 国际人权法
guo-ji-rong-zi-dan-bao 国际融资担保
guo-ji-shang-shi-zhong-cai 国际商事仲裁
guo-ji-shou-zhi 国际收支
guo-ji-si-fa 国际私法
guo-ji-tiao-yue 国际条约
guo-ji-wu-quan-dan-bao 国际物权担保
guo-ji-xi-guan-zuo-fa 国际习惯做法
guo-ji-xin-yong-dan-bao 国际信用担保
guo-ji-xu-ke-zheng-xie-yi 国际许可证协议
guo-ji-zheng-duan 国际争端
guo-ji-zhi-fu-shou-duan 国际支付手段
guo-ji-zhi-shi-chan-quan-fa 国际知识产权法
guo-jia-an-quan-bu 国家安全部
guo-jia-cai-chan-huo-mian-quan 国家财产豁免权
guo-jia-fa-lv 国家法律
guo-jia-gong-wu-yuan 国家公务员
guo-jia-gong-zuo-ren-yuan 国家工作人员
guo-jia-ji-gou 国家机构
guo-jia-ji-mi 国家机密
guo-jia-pei-chang 国家赔偿
guo-jia-pei-chang-cheng-xu 国家赔偿程序
guo-jia-pei-chang-fa 国家赔偿法
guo-jia-pei-chang-ji-suan-biao-zhun 国家赔偿计算标准
guo-jia-pei-chang-yi-wu-ji-guan 国家赔偿义务机关
guo-jia-pei-chang-ze-ren-xian-zhi 国家赔偿责任限制
guo-jia-si-fa-kao-shi 国家司法考试
guo-jia-tong-yi-si-fa-kao-shi 国家统一司法考试
guo-jia-zhi-quan-zhu-yi 国家职权主义
guo-jia-zhui-chang-quan 国家追偿权
guo-jia-zhui-su-zhu-yi 国家追诉主义
guo-jing-bian-jing 国境边境
guo-ku-quan 国库券
guo-min-dai-yu 国民待遇
guo-min-dai-yu-yuan-ze 国民待遇原则
guo-nei-fa 国内法
guo-nei-li-fa 国内立法
guo-nei-pan-li 国内判例
guo-sheng-bi-xian 过剩避险
guo-sheng-jing-bei 过剩警备
guo-shi 过失
guo-shi-bao-zha-zui 过失爆炸罪
guo-shi-fan 过失犯
guo-shi-fan-de-yin-guo-guan-xi 过失犯的因果关系
guo-shi-fan-zui 国事犯罪
guo-shi-jue-shui-zui 过失决水罪
