;; -*- coding: utf-8 -*--
a-li-tong 阿里通
dian-dui-duo-dian-tong-xin 点对多点通信
dian-fen-shi-jin-zhi-ji-fa 点分十进制记法
dian-guang-yuan 点光源
dian-he-ou-he-cun-chu-qi 电荷耦合存储器
dian-ji 点集
dian-ji-she-bei 点击设备
dian-jian-suo 点检索
dian-ke-jian-xing 点可见性
dian-kou 电口
dian-kou-zhuan-guang-kou 电口转光口
dian-liu-xing-luo-ji 电流型逻辑
dian-liu-yuan 电流源
dian-lu-bao-hu-qi 电路保护器
dian-lu-chuan-song-mo-shi 电路传送模式
dian-lu-jiao-huan 电路交换
dian-lu-jiao-huan-gong-yong-shu-ju-wang 电路交换公用数据网
dian-lu-jiao-huan-shu-ju-wang 电路交换数据网
dian-lu-jiao-huan-wang 电路交换网
dian-lu-nei-ce-shi 电路内测试
dian-ping-min-gan-sao-miao-she-ji 电平敏感扫描设计
dian-qi-gong-cheng-shi 电气工程师
dian-qi-xing-neng 电气性能
dian-rong-shi-chu-mo-ping 电容式触摸屏
dian-shi-hui-yi 电视会议
dian-shi-qiang 电视墙
dian-ya-dian-liu-qu-xian 电压电流曲线
dian-ya-jie-yue 电压阶跃
dian-ye-si-fu-dian-ji 电液伺服电机
dian-yuan-fen-pei-xi-tong 电源分配系统
dian-yuan-gen-zong 电源跟踪
dian-yuan-kong-zhi-wei-ma 电源控制微码
dian-yuan-ping-mu 电源屏幕
dian-yuan-zong-xian 电源总线
dian-yun-suan 点运算
dian-zhen-da-yin-ji 点阵打印机
dian-zhen-jing-du 点阵精度
dian-zhi-bian-se-xian-shi-qi 电致变色显示器
dian-zhi-fa-guang-xian-shi-qi 电致发光显示器
dian-zhuo-shi-yin-shua-ji 电灼式印刷机
dian-zi-biao-ge 电子表格
dian-zi-chu-ban 电子出版
dian-zi-chu-ban-xi-tong 电子出版系统
dian-zi-er 电子耳
dian-zi-fu-kuan 电子付款
dian-zi-fu-wu 电子服务
dian-zi-guan 电子管
dian-zi-han-jian 电子函件
dian-zi-han-jian-di-zhi 电子函件地址
dian-zi-hui-yi-xi-tong 电子会议系统
dian-zi-ji-suan-ji 电子计算机
dian-zi-jian-shi 电子监视
dian-zi-jin-rong 电子金融
dian-zi-mei-ti 电子媒体
dian-zi-qi-jian 电子器件
dian-zi-qian-ming 电子签名
dian-zi-qing-bao 电子情报
dian-zi-shang-wu 电子商务
dian-zi-she-bei 电子设备
dian-zi-she-ji-gui-ze 电子设计规则
dian-zi-she-ji-zi-dong-hua 电子设计自动化
dian-zi-shen-ru 电子渗入
dian-zi-shi-chang 电子市场
dian-zi-shu-ju-jiao-huan 电子数据交换
dian-zi-shu-ju-jiao-huan-xiao-xi 电子数据交换消息
dian-zi-shu-zi-ji-fen-qi 电子数字积分器
dian-zi-tu-shu-guan 电子图书馆
dian-zi-wen-ben 电子文本
dian-zi-xiao-xi-chu-li 电子消息处理
dian-zi-yin-hang-ye-wu 电子银行业务
dian-zi-you-jian 电子邮件
dian-zi-you-jian-bie-ming 电子邮件别名
dian-zi-you-jian-di-zhi 电子邮件地址
dian-zi-za-zhi 电子杂志
dian-zi-zhao-xiang-yin-shua-ji 电子照相印刷机
dian-zi-zi-jin-zhuan-zhang-xi-tong 电子资金转账系统
dian-zu-fu-zai 电阻负载
dian-zu-pai 电阻排
dian-zu-sun-hao 电阻损耗
dian-zu-yin-xian-dian-gan 电阻引线电感
diao-du 调度
diao-du-biao 调度表
diao-du-ce-lue 调度策略
diao-du-cheng-xu 调度程序
diao-du-cheng-xu-deng-dai-dui-lie 调度程序等待队列
diao-du-cheng-xu-gong-zuo-qu 调度程序工作区
diao-du-dui-lie 调度队列
diao-du-fang-shi 调度方式
diao-du-gui-ze 调度规则
diao-du-jian-kong-ji-suan-ji 调度监控计算机
diao-du-mo-kuai 调度模块
diao-du-suan-fa 调度算法
diao-du-wen-ti 调度问题
diao-du-xin-xi-chi 调度信息池
diao-du-zi-yuan 调度资源
diao-du-zuo-ye 调度作业
diao-su-qu-mian 雕塑曲面
diao-yong 调用
diao-yong-zhe 调用者
die-dai 迭代
die-dai-diao-du-fen-pei-fang-fa 迭代调度分配方法
die-dai-gai-jin 迭代改进
die-dai-sou-suo 迭代搜索
die-jia 叠加
die-pian-shi-ci-tou 叠片式磁头
die-shi-pai-lie 蝶式排列
die-xing 蝶形
die-yin 叠印
ding-bi-bian-huan 定比变换
ding-chang-de 定长的
ding-dian-fu-gai 顶点覆盖
ding-dian-hun-he 顶点混合
ding-dian-ji-suan-ji 定点计算机
ding-dian-shu 定点数
ding-dian-yun-suan 定点运算
ding-ji-jie-dian 顶级结点
ding-jie-fu 定界符
ding-li-zheng-ming-qi 定理证明器
ding-liang-tu-xiang-fen-xi 定量图像分析
ding-qi-wei-hu 定期维护
ding-shi-fen-xi 定时分析
ding-shi-mai-chong-fen-pei-qi 定时脉冲分配器
ding-shi-qi 定时器
ding-shi-ren-wu 定时任务
ding-shi-yue-shu 定时约束
ding-shi-zha-dan 定时炸弹
ding-wei 定位
ding-wei-chong-fu-wu-cha 定位重复误差
ding-wei-qi 定位器
ding-wei-shi-jian 定位时间
ding-wei-xin-dao 定位信道
ding-xiang-sou-suo 定向搜索
ding-xing-miao-shu 定性描述
ding-xing-tui-li 定性推理
ding-xing-wu-li 定性物理
ding-yi-ji-qi-zhi-neng 定义机器智能
ding-yi-jie-duan 定义阶段
ding-yi-shu-ju-lei-xing 定义数据类型
ding-yi-xing 定义性
ding-yi-xing-chu-xian 定义性出现
ding-yi-yu 定义域
ding-zhi 定址
diu-shi-zhong-duan-chu-li-cheng-xu 丢失中断处理程序
dong-ci-duan-yu 动词短语
dong-ci-yu-yi-xue 动词语义学
dong-hua 动画
dong-jie-biao-ji 冻结标记
dong-long-jin-xiao-cun-ruan-jian 东龙进销存软件
dong-tai 动态
dong-tai-bang-ding 动态绑定
dong-tai-bao-hu 动态保护
dong-tai-ce-shi 动态测试
dong-tai-chong-ding-wei 动态重定位
dong-tai-chong-gou 动态重构
dong-tai-chong-ma-lv 动态重码率
dong-tai-chu-li 动态处理
dong-tai-chu-li-qi-fen-pei 动态处理器分配
dong-tai-cun-chu-fen-pei 动态存储分配
dong-tai-cun-chu-guan-li 动态存储管理
dong-tai-cun-chu-qi 动态存储器
dong-tai-cuo-wu 动态错误
dong-tai-di-zhi-zhuan-huan 动态地址转换
dong-tai-diao-du 动态调度
dong-tai-fang-zhen 动态仿真
dong-tai-fen-pai-xu-ni-biao 动态分派虚拟表
dong-tai-fen-pei 动态分配
dong-tai-fen-xi 动态分析
dong-tai-fen-xi-qi 动态分析器
dong-tai-gui-hua 动态规划
dong-tai-han-zi-ping-jun-ma-chang 动态汉字平均码长
dong-tai-huan-chong 动态缓冲
dong-tai-huan-chong-qu 动态缓冲区
dong-tai-huan-chong-qu-fen-pei 动态缓冲区分配
dong-tai-ji-yi 动态记忆
dong-tai-jian-wei-fen-bu-xi-shu 动态键位分布系数
dong-tai-kong-zhi 动态控制
dong-tai-lian-jie-ku 动态链接库
dong-tai-liu-shui-xian 动态流水线
dong-tai-mao-xian 动态冒险
dong-tai-niu-xie 动态扭斜
dong-tai-rong-yu 动态冗余
dong-tai-sheng-cheng-cheng-xu 动态生成程序
dong-tai-shi-jie-gui-hua 动态世界规划
dong-tai-shua-xin 动态刷新
dong-tai-sui-ji-cun-chu-qi 动态随机存储器
dong-tai-ting-ji 动态停机
dong-tai-wang-luo 动态网络
dong-tai-wu-cha 动态误差
dong-tai-xian-shi 动态显示
dong-tai-xiang-guan-xing-jian-cha 动态相关性检查
dong-tai-you-xian-ji 动态优先级
dong-tai-you-xian-ji-diao-du 动态优先级调度
dong-tai-you-xian-ji-suan-fa 动态优先级算法
dong-tai-zhuan-yi-yu-ce 动态转移预测
dong-tai-zi-ci-chong-ma-lv 动态字词重码率
dong-tai-zi-ci-ping-jun-ma-chang 动态字词平均码长
dong-tai-zi-yuan-fen-pei 动态资源分配
dong-ya 动压
dong-zuo-gui-ze 动作规则
dou-dong 抖动
du-chu-dian-lu 读出电路
du-chu-shi-jian 读出时间
du-chu-xian 读出线
du-fang-da-qi 读放大器
du-fang-wen 读访问
du-hou-xie 读后写
du-jun-heng 读均衡
du-li-cheng-xu 独立程序
du-li-cheng-xu-zhuang-ru-cheng-xu 独立程序装入程序
du-li-xing-gu-zhang 独立型故障
du-li-yan-zheng-he-que-ren 独立验证和确认
du-liang 度量
du-liang-kong-jian 度量空间
du-qu 读取
du-ren-wu 读任务
du-ru-yuan-yu 读入原语
du-shu-ju-xian 读数据线
du-suo 读锁
du-xie 读写
du-xie-kong 读写孔
du-xie-kong-zhi-dian-lu 读写控制电路
du-xie-zhou-qi 读写周期
du-xin-hao 读信号
du-xuan-ze-xian 读选择线
du-zao-sheng 读噪声
duan-biao 段表
duan-biao-di-zhi 段表地址
duan-chang-du 段长度
duan-di-zhi 段地址
duan-dian 端点
duan-dian-bian-ma 端点编码
duan-dian-kai-guan 断点开关
duan-duan-jia-mi 端端加密
duan-duan-mi-yue 端端密钥
duan-dui-duan-chuan-song 端对端传送
duan-fu-gai 段覆盖
duan-hao 段号
duan-ji-hao 端记号
duan-jie 端接
duan-jie-dian-ya 端接电压
duan-jie-dian-yuan 端接电源
duan-jie-dian-zu 端接电阻
duan-jie-er-ji-guan 端接二极管
duan-jie-qi 端接器
duan-kai 断开
duan-lu-gu-zhang 断路故障
duan-lu-gu-zhang 短路故障
duan-lu-qi 断路器
duan-lu-wei-zhi 断路位置
duan-qi-diao-du 短期调度
duan-shi-cun-chu-xi-tong 段式存储系统
duan-shou-da-zi 段首大字
duan-suo 段锁
duan-ti-jiao-xie-yi 段提交协议
duan-xi-tong 端系统
duan-yan 断言
duan-ying-she 段映射
duan-yu-jie-gou-gui-ze 短语结构规则
duan-yu-jie-gou-qi-yi 短语结构歧义
duan-yu-jie-gou-shu 短语结构树
duan-yu-jie-gou-yu-fa 短语结构语法
dui-bi-du-cao-zong 对比度操纵
dui-bi-du-kuo-zhan 对比度扩展
dui-bi-ling-min-du 对比灵敏度
dui-ce-fang-zhen 对策仿真
dui-ce-lun 对策论
dui-chen-cao-zuo-xi-tong 对称操作系统
dui-chen-chuan-shu-xian 对称传输线
dui-chen-mi-ma 对称密码
dui-chen-mi-ma-xi-tong 对称密码系统
dui-deng 对等
dui-di-ping-heng 对地平衡
dui-hua-kong-zhi-kuai 对话控制块
dui-hua-mo-xing 对话模型
dui-hua-xi-tong 对话系统
dui-huan 对换
dui-huan-biao 对换表
dui-huan-cheng-xu 对换程序
dui-huan-fang-shi 对换方式
dui-huan-fen-pei-dan-yuan 对换分配单元
dui-huan-ji 对换集
dui-huan-shi-jian 对换时间
dui-huan-you-xian-ji 对换优先级
dui-jiao-hua-fang-fa 对角化方法
dui-jiao-xian-ce-shi 对角线测试
dui-lie 队列
dui-lie-biao 队列表
dui-lie-kong-zhi-kuai 队列控制块
dui-liu 对流
dui-ou-chan-sheng-qi 对偶产生器
dui-ou-wang 对偶网
dui-ou-yuan-li 对偶原理
dui-ou-yun-suan 对偶运算
dui-pai-xu 堆排序
dui-qi 对齐
dui-xiang-biao-zhi-fu 对象标识符
dui-xiang-guan-li-jie-gou 对象管理结构
dui-xiang-guan-li-zu 对象管理组
dui-xiang-jian-mo-ji-shu 对象建模技术
dui-xiang-lian-jie 对象连接
dui-xiang-lian-jie-yu-qian-ru 对象链接与嵌入
dui-xiang-mo-xing 对象模型
dui-xiang-qing-qiu-dai-li 对象请求代理
dui-xiang-shi 对象式
dui-xiang-shi-bian-cheng-yu-yan 对象式编程语言
dui-xiang-shi-cheng-xu-she-ji 对象式程序设计
dui-xiang-shi-fang-fa 对象式方法
dui-xiang-shi-fen-xi 对象式分析
dui-xiang-shi-she-ji 对象式设计
dui-xiang-shi-yu-yan 对象式语言
dui-xiang-yin-yong 对象引用
dui-xiang-zi-dian 对象字典
dui-ying-dian 对应点
dui-zhan 堆栈
dui-zhun-wang-luo 对准网络
duo-ba-wei-bian-ma-zi-fu-ji 多八位编码字符集
duo-bian-liang-kong-zhi-qi 多变量控制器
duo-bian-pai-xu 多遍排序
duo-bian-xing-cai-jian 多边形裁剪
duo-bian-xing-chuang-kou 多边形窗口
duo-bian-xing-fen-jie 多边形分解
duo-bian-xing-mian-pian 多边形面片
duo-bian-xing-qu-xiang 多边形取向
duo-bian-xing-tu-fen-jie 多边形凸分解
duo-biao-ji-shu 多标记树
duo-bo 多播
duo-bo-zhu-gan-wang 多播主干网
duo-ce-lue-xie-shang 多策略协商
duo-ceng-mo-shi 多层模式
duo-ceng-yin-zhi-ban 多层印制板
duo-cheng-xu 多程序
duo-chi-du-fen-xi 多尺度分析
duo-chong-cheng-xu-zhuang-ru 多重程序装入
duo-chong-chu-li 多重处理
duo-chong-chu-li-cao-zuo-xi-tong 多重处理操作系统
duo-chong-cun-qu-cun-chu-qi 多重存取存储器
duo-chong-guan-xi 多重关系
duo-chong-ji 多重集
duo-chong-liu-lan-qi 多重浏览器
duo-chu-li-huan-jing 多处理环境
duo-chu-li-ji 多处理机
duo-chu-li-ji-cao-zuo-xi-tong 多处理机操作系统
duo-chu-li-ji-xi-tong 多处理机系统
duo-chu-li-qi 多处理器
duo-chu-li-qi-diao-du 多处理器调度
duo-chu-li-qi-fen-pei 多处理器分配
duo-dai-tu-ling-ji 多带图灵机
duo-dao-cheng-xu 多道程序
duo-dao-cheng-xu-fen-pai 多道程序分派
duo-dao-cheng-xu-she-ji 多道程序设计
duo-di-zhi-ji-suan-ji 多地址计算机
duo-dian 多点
duo-dian-biao-ji 多点标记
duo-dian-er-jin-zhi-wen-jian-chuan-song 多点二进制文件传送
duo-dian-hui-yi 多点会议
duo-dian-ji-hao 多点记号
duo-dian-jing-zhi-tu-xiang-ji-zhu-shi 多点静止图像及注释
duo-dian-kong-zhi-qi 多点控制器
duo-dian-lian-jie 多点连接
duo-dian-lu-you 多点路由
duo-dian-tong-xin 多点通信
duo-dian-tong-xin-fu-wu 多点通信服务
duo-duan-kou-cun-chu-qi 多端口存储器
duo-dui-duo-lian-xi 多对多联系
duo-dui-yi-lian-xi 多对一联系
duo-fen-bian-lv 多分辨率
duo-fen-bian-lv-fen-xi 多分辨率分析
duo-fen-bian-lv-qu-xian 多分辨率曲线
duo-gong-neng-guang 多功能光
duo-gong-xu-shi-ti-zao-xing 多工序实体造型
duo-gu-zhang 多故障
duo-guan-lian-chu-li-ji 多关联处理机
duo-guang-pu-tu-xiang 多光谱图像
duo-guo-yu-yan-ban 多国语言版
duo-hui-lu-kong-zhi 多回路控制
duo-hui-lu-tiao-jie 多回路调节
duo-ji 多级
duo-ji-an-quan 多级安全
duo-ji-fan-kui-dui-lie 多级反馈队列
duo-ji-gao-su-huan-cun 多级高速缓存
duo-ji-mo-ni 多级模拟
duo-ji-she-bei 多级设备
duo-ji-suan-ji 多计算机
duo-ji-suan-ji-xi-tong 多计算机系统
duo-ji-wang-luo 多级网络
duo-ji-you-xian-ji-zhong-duan 多级优先级中断
duo-ji-zhong-duan 多级中断
duo-lei-luo-ji 多类逻辑
duo-lian-lu 多链路
duo-lu 多路
duo-lu-fen-pei-qi 多路分配器
duo-lu-tui-li 多路推理
duo-lu-zhuan-huan-tong-dao 多路转换通道
duo-mei-ti 多媒体
duo-mei-ti-bian-mu-shu-ju-ku 多媒体编目数据库
duo-mei-ti-ge-ren-ji-suan-ji 多媒体个人计算机
duo-mei-ti-hui-yi 多媒体会议
duo-mei-ti-ji-shu 多媒体技术
duo-mei-ti-ji-suan-ji 多媒体计算机
duo-mei-ti-kuo-zhan 多媒体扩展
duo-mei-ti-shu-ju-ban-ben-guan-li 多媒体数据版本管理
duo-mei-ti-shu-ju-cun-chu-guan-li 多媒体数据存储管理
duo-mei-ti-shu-ju-jian-suo 多媒体数据检索
duo-mei-ti-shu-ju-ku 多媒体数据库
duo-mei-ti-shu-ju-lei-xing 多媒体数据类型
duo-mei-ti-shu-ju-mo-xing 多媒体数据模型
duo-mei-ti-tong-xin 多媒体通信
duo-mei-ti-xi-tong 多媒体系统
duo-mei-ti-xin-xi-xi-tong 多媒体信息系统
duo-mei-ti-yan-shen-zhi-ling-ji 多媒体延伸指令集
duo-mei-ti-ye-wu 多媒体业务
duo-mi-nuo-xiao-ying 多米诺效应
duo-mian-ti-cai-jian 多面体裁剪
duo-mian-ti-jian-hua 多面体简化
duo-mian-ti-mo-xing 多面体模型
duo-mo-shi-jie-kou 多模式接口
duo-mo-xing-xu-ni-huan-jing 多模型虚拟环境
duo-qu-hei-ban 多区黑板
duo-ren-wu 多任务
duo-ren-wu-chu-li 多任务处理
duo-ren-wu-guan-li 多任务管理
duo-shu-ju 多数据
duo-shu-ju-liu 多数据流
duo-shu-jue-ding-men 多数决定门
duo-shu-xing-jue-ce-xi-tong 多属性决策系统
duo-tai-bian-cheng-yu-yan 多态编程语言
duo-tai-xing 多态性
duo-tong-dao 多通道
duo-tong-dao-chuan-shu 多通道传输
duo-tou-tu-ling-ji 多头图灵机
duo-wei-cun-qu 多维存取
duo-wei-fen-xi 多维分析
duo-wei-shu-ju-jie-gou 多维数据结构
duo-wei-tu-ling-ji 多维图灵机
duo-wen-zhong-cao-zuo-xi-tong 多文种操作系统
duo-wen-zhong-xin-xi-chu-li 多文种信息处理
duo-xian-cheng 多线程
duo-xian-cheng-chu-li 多线程处理
duo-xiang-shi-dui-shu-shen-du 多项式对数深度
duo-xiang-shi-dui-shu-shi-jian 多项式对数时间
duo-xiang-shi-ke-gui-yue 多项式可归约
duo-xiang-shi-ke-zhuan-huan 多项式可转换
duo-xiang-shi-kong-jian 多项式空间
duo-xiang-shi-pu-xi 多项式谱系
duo-xiang-shi-shi-jian 多项式时间
duo-xiang-shi-shi-jian-gui-yue 多项式时间归约
duo-xiang-shi-you-jie 多项式有界
duo-xie-yi 多协议
duo-xin-dian-lan 多芯电缆
duo-xin-pian-mo-kuai 多芯片模块
duo-yi 多义
duo-yi-ke-gui-xing 多一可归性
duo-yi-wen-fa 多义文法
duo-yong-hu 多用户
duo-yong-hu-cao-zuo-xi-tong 多用户操作系统
duo-yong-hu-kong-zhi 多用户控制
duo-yong-hu-xi-tong 多用户系统
duo-you-xian-ji 多优先级
duo-yu-zhong-chu-li-ji 多语种处理机
duo-yu-zhong-fan-yi 多语种翻译
duo-yu-zhong-xin-xi-chu-li-xi-tong 多语种信息处理系统
duo-yuan-sui-ji-tui-li 多元随机推理
duo-yuan-tong-ji-tui-li 多元统计推理
duo-zhi-ling 多指令
duo-zhi-ling-fa-she 多指令发射
duo-zhi-luo-ji 多值逻辑
duo-zhi-yi-lai 多值依赖
duo-zhong-duan-jian-kong-cheng-xu 多终端监控程序
duo-zhou-qi-shi-xian 多周期实现
duo-zhu-ti 多主体
duo-zhu-ti-chu-li-huan-jing 多主体处理环境
duo-zhu-ti-tui-li 多主体推理
duo-zhu-ti-xi-tong 多主体系统
duo-zi-jie-tu-xing-zi-fu-ji 多字节图形字符集
duo-zong-xian 多总线
duo-zuo-ye 多作业
duo-zuo-ye-chu-li 多作业处理
e-ding-dian-ya 额定电压
e-ding-fu-zai 额定负载
e-wai-ci-dao 额外磁道
e-wai-shan-qu 额外扇区
e-yi-luo-ji 恶意逻辑
e-yi-ruan-jian 恶意软件
er-ceng-jiao-huan 二层交换
er-cha-cha-zhao-shu 二叉查找树
er-cha-pai-xu-shu 二叉排序树
er-cha-pan-ding-tu 二叉判定图
er-cha-shu 二叉树
er-ci-xing-xing-neng-zhi-biao 二次型性能指标
er-dian-tou-shi 二点透视
er-fen-cha-ru 二分插入
er-fen-sou-suo 二分搜索
er-fen-tu 二分图
er-ji-gao-su-huan-cun 二级高速缓存
er-ji-mi-yue 二级密钥
er-jie-can-shu-lian-xu 二阶参数连续
er-jie-ji-he-lian-xu 二阶几何连续
er-jie-luo-ji 二阶逻辑
er-jin-zhi 二进制
er-jin-zhi-da-dui-xiang 二进制大对象
er-jin-zhi-dan-yuan 二进制单元
er-jin-zhi-shu-zi 二进制数字
er-jin-zhi-yun-suan 二进制运算
er-jin-zhi-zi-fu 二进制字符
er-lu-gui-bing 二路归并
er-nan-tui-li 二难推理
er-tong-yu-yan-mo-xing 儿童语言模型
er-yuan-guan-xi 二元关系
er-yuan-yu-fa 二元语法
er-yuan-yu-jie-shi 二元预解式
er-zhi-tu-xiang 二值图像
fa-guang-er-ji-guan-xian-shi 发光二极管显示
fa-guang-er-ji-guan-yin-shua-ji 发光二极管印刷机
fa-san-shu-juan-ji-fa 发散束卷积法
fa-she-ji-dian-jie 发射极点接
fa-she-ji-xia-la-dian-zu 发射极下拉电阻
fa-sheng-quan 发生权
fa-xian-liu 法线流
fan-bian-yi-cheng-xu 反编译程序
fan-bian-yi-qi 反编译器
fan-chong 反冲
fan-chou 范畴
fan-chou-fen-xi 范畴分析
fan-chou-yu-fa 范畴语法
fan-chuan-wang-luo 反传网络
fan-du 反读
fan-guan-xi 泛关系
fan-guang 泛光
fan-he-yi 泛合一
fan-hua 泛化
fan-hui-bian-cheng-xu 反汇编程序
fan-hui-hui-fu 返回恢复
fan-hui-lu-jing 返回路径
fan-kui-bian-ji-he 反馈边集合
fan-kui-kong-zhi 反馈控制
fan-kui-qiao-jie-gu-zhang 反馈桥接故障
fan-lan 泛滥
fan-li 反例
fan-li-biao-shi 范例表示
fan-li-jian-suo 范例检索
fan-li-jian-suo-wang 范例检索网
fan-li-jie-gou 范例结构
fan-li-ku 范例库
fan-li-xiu-zheng 范例修正
fan-li-yan-zheng 范例验证
fan-li-yi-cun-xiang-si-xing 范例依存相似性
fan-li-zhong-cun 范例重存
fan-li-zhong-yong 范例重用
fan-ma 反码
fan-qie-ting-zhuang-zhi 反窃听装置
fan-she-de 反射的
fan-she-dian-ya 反射电压
fan-she-ding-lv 反射定律
fan-she-ku 反射库
fan-she-lv 反射率
fan-she-ti 反射体
fan-she-xi-shu 反射系数
fan-shi 范式
fan-ti-zi 繁体字
fan-tou-ying-suan-zi 反投影算子
fan-wei-jie-xian 范围界限
fan-xiang-fu-yong 反向复用
fan-xiang-hui-fu 反向恢复
fan-xiang-ji-fei-jie-shou 反向计费接受
fan-xiang-ju-yu-wang-xin-dao 反向局域网信道
fan-xiang-tui-li 反向推理
fan-xiang-xin-dao 反向信道
fan-xing 泛型
fan-xing-bian-cheng 泛型编程
fan-yi-cheng-xu 翻译程序
fan-yi-jia-bai-ke 翻译加百科
fan-yi-lai 反依赖
fan-yi-qi 翻译器
fan-yi-ruan-jian 翻译软件
fan-yi-tui-li 反绎推理
fan-ying-zhu-ti 反应主体
fang-bing-du 防病毒
fang-bing-du-cheng-xu 防病毒程序
fang-fa-ku 方法库
fang-huo-qiang 防火墙
fang-qi-xu-lie 放弃序列
fang-qie-ting 防窃听
fang-she-bian-huan 仿射变换
fang-she-xing-he-su 放射性核素
fang-shui-qiang 防水墙
fang-song-ti 仿宋体
fang-suo 放缩
fang-wei-jiao-ci-ji-lu 方位角磁记录
fang-wen-biao 访问表
fang-wen-chong-tu 访问冲突
fang-wen-fan-chou 访问范畴
fang-wen-gong-xiang 访问共享
fang-wen-ji-bie 访问级别
fang-wen-ju-bu-xing 访问局部性
fang-wen-ju-shou-xing 访问局守性
fang-wen-ju-zhen 访问矩阵
fang-wen-kong-zhi 访问控制
fang-wen-kong-zhi-lie-biao 访问控制列表
fang-wen-kong-zhi-zi-duan 访问控制字段
fang-wen-lei-xing 访问类型
fang-wen-quan 访问权
fang-wen-shou-quan 访问授权
fang-wen-te-quan 访问特权
fang-wen-xu-ke 访问许可
fang-wen-zhou-qi 访问周期
fang-xiang-xiang-liang 方向向量
fang-xin-xi-xie-lou 防信息泄漏
fang-xin-xi-xie-lou-kong-zhi-fan-wei 防信息泄漏控制范围
fang-xing-kong-zhi-qi 仿形控制器
fang-yan-xue 方言学
fang-yi-cheng-xu 防疫程序
fang-zhen 仿真
fang-zhen-cheng-xu 仿真程序
fang-zhen-ding-xing-tui-li 仿真定性推理
fang-zhen-ji-suan-ji 仿真计算机
fang-zhen-qi 仿真器
fang-zhen-zhong-duan 仿真终端
fei-bao-he-ci-ji-lu 非饱和磁记录
fei-bi-ran-xing 非必然性
fei-chang-gui-bian-ma 非常规编码
fei-cheng-zi-bu-jian 非成字部件
fei-chuan-tong-ji-suan-ji 非传统计算机
fei-dan-diao-tui-li 非单调推理
fei-dui-chen 非对称
fei-dui-chen-mi-ma 非对称密码
fei-dui-chen-mi-ma-xi-tong 非对称密码系统
fei-dui-chen-xuan-ze-wang 非对称选择网
fei-er-tuo-si-te 费尔托斯特
fei-guo-cheng-yu-yan 非过程语言
fei-ji-da-shi-yin-shua-ji 非击打式印刷机
fei-ji-suan-yan-chi 非计算延迟
fei-jiao-huan-lian-jie 非交换连接
fei-jie-chu-shi-ci-ji-lu 非接触式磁记录
fei-jun-yun-cun-chu-qi-cun-qu 非均匀存储器存取
fei-jun-yun-dui-xiang-mo-xing 非均匀对象模型
fei-jun-yun-you-li 非均匀有理
fei-liu-xing 非流形
fei-liu-xing-zao-xing 非流形造型
fei-men 非门
fei-mi-mi-xing 非秘密性
fei-mo-chu-zhan-zi-dong-ji 非抹除栈自动机
fei-ping-bi-shuang-jiao-xian 非屏蔽双绞线
fei-ping-fan-han-shu-yi-lai 非平凡函数依赖
fei-ping-heng-shu 非平衡树
fei-qiang-xian-diao-du 非抢先调度
fei-qiang-xian-duo-ren-wu-chu-li 非抢先多任务处理
fei-qing-qiu-fen-ye 非请求分页
fei-que-bao-cao-zuo 非确保操作
fei-que-ding-ji-suan 非确定计算
fei-que-ding-kong-jian-fu-za-xing 非确定空间复杂性
fei-que-ding-shi-jian-fu-za-xing 非确定时间复杂性
fei-que-ding-shi-jian-pu-xi 非确定时间谱系
fei-que-ding-xing-kong-zhi-xi-tong 非确定性控制系统
fei-que-ding-xing-tu-ling-ji 非确定型图灵机
fei-que-ding-xing-you-qiong-zi-dong-ji 非确定型有穷自动机
fei-shi-bie-xing 非识别型
fei-te 非特
fei-xian-xing 非线性
fei-xian-xing-bian-ji 非线性编辑
fei-xian-xing-dao-hang 非线性导航
fei-xian-xing-kong-zhi-xi-tong 非线性控制系统
fei-xian-xing-liang-hua 非线性量化
fei-xian-xing-liu-shui-xian 非线性流水线
fei-xian-zhi-wen-fa 非限制文法
fei-xin 飞信
fei-xing-gao-du 飞行高度
fei-yi-shi-xing-cun-chu-qi 非易失性存储器
fei-yu-ding-wei-xiu 非预定维修
fei-yu-ding-wei-xiu-shi-jian 非预定维修时间
fei-yuan-cheng-cun-chu-qi-cun-qu 非远程存储器存取
fei-zhong-ji-fu 非终极符
fei-zhu-shu-xing 非主属性
fei-zi-fan-xing 非自反性
fei-zu-se-jiao-cha-kai-guan 非阻塞交叉开关
fen-bao-shang 分包商
fen-bian-lv 分辨率
fen-bie-bian-yi 分别编译
fen-bu-can-shu-kong-zhi-xi-tong 分布参数控制系统
fen-bu-deng-dai-tu 分布等待图
fen-bu-dian-rong 分布电容
fen-bu-fu-zai 分布负载
fen-bu-mo-shi 分布模式
fen-bu-shi-biao-shi-guan-li 分布式表示管理
fen-bu-shi-cao-zuo-xi-tong 分布式操作系统
fen-bu-shi-cheng-xu-she-ji 分布式程序设计
fen-bu-shi-cun-chu-qi 分布式存储器
fen-bu-shi-ding-xu-suan-fa 分布式定序算法
fen-bu-shi-dui-lie-shuang-zong-xian 分布式队列双总线
fen-bu-shi-dui-xiang-ji-shu 分布式对象技术
fen-bu-shi-dui-xiang-ji-suan 分布式对象计算
fen-bu-shi-duo-mei-ti 分布式多媒体
fen-bu-shi-gong-gong-dui-xiang-mo-xing 分布式公共对象模型
fen-bu-shi-gou-jian-dui-xiang-mo-xing 分布式构件对象模型
